,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist,song_title,target,Unnamed: 0
0,0.557,https://api.spotify.com/v1/audio-analysis/7jBIDPaMsULxPG75ERBqnB,0.564,126154,0.369,7jBIDPaMsULxPG75ERBqnB,0.169,11,0.135,-6.858,0,0.236,77.983,4,https://api.spotify.com/v1/tracks/7jBIDPaMsULxPG75ERBqnB,audio_features,spotify:track:7jBIDPaMsULxPG75ERBqnB,0.323,Mora,falling,1,
1,0.891,https://api.spotify.com/v1/audio-analysis/5p7t0AlOCYIjSe63jjudnI,0.738,93659,0.117,5p7t0AlOCYIjSe63jjudnI,0.889,10,0.0844,-19.392,1,0.301,81.995,4,https://api.spotify.com/v1/tracks/5p7t0AlOCYIjSe63jjudnI,audio_features,spotify:track:5p7t0AlOCYIjSe63jjudnI,0.403,Allem Iversom,Suns Out,1,
2,0.0822,https://api.spotify.com/v1/audio-analysis/3zZTIzTrgFGUMGo6ic61xa,0.717,101011,0.224,3zZTIzTrgFGUMGo6ic61xa,0.376,8,0.336,-16.28,1,0.496,85.802,4,https://api.spotify.com/v1/tracks/3zZTIzTrgFGUMGo6ic61xa,audio_features,spotify:track:3zZTIzTrgFGUMGo6ic61xa,0.699,NY-SAE,No Worries,1,
3,0.752,https://api.spotify.com/v1/audio-analysis/7n0AKzZvxlKyv6cvmQi8S9,0.665,115909,0.0924,7n0AKzZvxlKyv6cvmQi8S9,0.925,1,0.113,-12.477,0,0.0612,77.094,4,https://api.spotify.com/v1/tracks/7n0AKzZvxlKyv6cvmQi8S9,audio_features,spotify:track:7n0AKzZvxlKyv6cvmQi8S9,0.679,mommy,our little pond,1,
4,0.798,https://api.spotify.com/v1/audio-analysis/5VsvWS1MM9ys8LFkT07ram,0.741,104828,0.279,5VsvWS1MM9ys8LFkT07ram,0.858,3,0.124,-18.814,0,0.132,115.852,5,https://api.spotify.com/v1/tracks/5VsvWS1MM9ys8LFkT07ram,audio_features,spotify:track:5VsvWS1MM9ys8LFkT07ram,0.215,Sxmniak,Cloudy,1,
5,0.609,https://api.spotify.com/v1/audio-analysis/1DW4KWZRIwrMEPcfEdCmCn,0.701,120076,0.289,1DW4KWZRIwrMEPcfEdCmCn,0.826,8,0.109,-8.422,1,0.156,79.986,4,https://api.spotify.com/v1/tracks/1DW4KWZRIwrMEPcfEdCmCn,audio_features,spotify:track:1DW4KWZRIwrMEPcfEdCmCn,0.779,Saito,Morning Mist Resort,1,
6,0.9,https://api.spotify.com/v1/audio-analysis/7trxuSkxmsRKOyJcejNkij,0.422,108492,0.394,7trxuSkxmsRKOyJcejNkij,0.954,1,0.104,-7.814,0,0.0744,131.103,4,https://api.spotify.com/v1/tracks/7trxuSkxmsRKOyJcejNkij,audio_features,spotify:track:7trxuSkxmsRKOyJcejNkij,0.846,Brenky,Leavin',1,
7,0.878,https://api.spotify.com/v1/audio-analysis/2z8V0NF7biKE3oazgX02J9,0.684,158118,0.361,2z8V0NF7biKE3oazgX02J9,0.957,11,0.108,-7.132,0,0.15,85.086,4,https://api.spotify.com/v1/tracks/2z8V0NF7biKE3oazgX02J9,audio_features,spotify:track:2z8V0NF7biKE3oazgX02J9,0.284,Dust Collectors,Cmnd,1,
8,0.333,https://api.spotify.com/v1/audio-analysis/4hC2Z0PkNEyCqMRXczzlMm,0.728,101386,0.182,4hC2Z0PkNEyCqMRXczzlMm,0.824,10,0.111,-11.393,0,0.411,87.934,4,https://api.spotify.com/v1/tracks/4hC2Z0PkNEyCqMRXczzlMm,audio_features,spotify:track:4hC2Z0PkNEyCqMRXczzlMm,0.249,Smeyeul.,Her Wandering Gaze.,1,
9,0.575,https://api.spotify.com/v1/audio-analysis/2DWLKb79oJrM6DIKrUGqsu,0.765,151484,0.25,2DWLKb79oJrM6DIKrUGqsu,0.92,2,0.259,-10.448,1,0.0514,84.01,4,https://api.spotify.com/v1/tracks/2DWLKb79oJrM6DIKrUGqsu,audio_features,spotify:track:2DWLKb79oJrM6DIKrUGqsu,0.304,sushileaf,put two feet in front of the other,1,
10,0.834,https://api.spotify.com/v1/audio-analysis/2ot4viwoo14amarFBmZDv5,0.73,146714,0.261,2ot4viwoo14amarFBmZDv5,0.382,1,0.294,-16.526,1,0.168,138.769,4,https://api.spotify.com/v1/tracks/2ot4viwoo14amarFBmZDv5,audio_features,spotify:track:2ot4viwoo14amarFBmZDv5,0.601,Kavv,Chiyo,1,
11,0.38,https://api.spotify.com/v1/audio-analysis/5vICGLG04qSiEntL04Dhad,0.794,99862,0.155,5vICGLG04qSiEntL04Dhad,0.843,4,0.267,-12.422,0,0.149,78.046,4,https://api.spotify.com/v1/tracks/5vICGLG04qSiEntL04Dhad,audio_features,spotify:track:5vICGLG04qSiEntL04Dhad,0.461,Flavors,demise,1,
12,0.262,https://api.spotify.com/v1/audio-analysis/4Ehy9KcXo0VCjJKVe5q1WB,0.826,225929,0.586,4Ehy9KcXo0VCjJKVe5q1WB,0.657,11,0.651,-9.026,0,0.135,169.992,4,https://api.spotify.com/v1/tracks/4Ehy9KcXo0VCjJKVe5q1WB,audio_features,spotify:track:4Ehy9KcXo0VCjJKVe5q1WB,0.52,Howiewonder,Night,1,
13,0.762,https://api.spotify.com/v1/audio-analysis/0uLqZ8RMVB0THpnY6JIFsv,0.608,147200,0.187,0uLqZ8RMVB0THpnY6JIFsv,0.782,11,0.12,-13.821,0,0.0941,74.967,4,https://api.spotify.com/v1/tracks/0uLqZ8RMVB0THpnY6JIFsv,audio_features,spotify:track:0uLqZ8RMVB0THpnY6JIFsv,0.277,stream_error,sleep well,1,
14,0.752,https://api.spotify.com/v1/audio-analysis/5wJmmRVkx1dfghYHOFjT8n,0.548,77922,0.302,5wJmmRVkx1dfghYHOFjT8n,0.893,10,0.314,-12.869,1,0.12,127.159,4,https://api.spotify.com/v1/tracks/5wJmmRVkx1dfghYHOFjT8n,audio_features,spotify:track:5wJmmRVkx1dfghYHOFjT8n,0.546,chief.,sorry,1,
15,0.243,https://api.spotify.com/v1/audio-analysis/79JRTaZyyrmTK31SuEkgWh,0.741,156222,0.0753,79JRTaZyyrmTK31SuEkgWh,0.868,4,0.105,-12.26,0,0.166,148.072,4,https://api.spotify.com/v1/tracks/79JRTaZyyrmTK31SuEkgWh,audio_features,spotify:track:79JRTaZyyrmTK31SuEkgWh,0.308,Saiko,Hands Free,1,
16,0.197,https://api.spotify.com/v1/audio-analysis/5Jm9dU50Rpzz5Yao9ynzQs,0.561,76835,0.0644,5Jm9dU50Rpzz5Yao9ynzQs,0.884,7,0.0932,-13.783,0,0.481,130.583,3,https://api.spotify.com/v1/tracks/5Jm9dU50Rpzz5Yao9ynzQs,audio_features,spotify:track:5Jm9dU50Rpzz5Yao9ynzQs,0.96,jhfly,yellow chords,1,
17,0.0402,https://api.spotify.com/v1/audio-analysis/5Hq1CQHBuaxjHSCgj6DoUu,0.807,96592,0.265,5Hq1CQHBuaxjHSCgj6DoUu,0.93,0,0.0866,-7.969,0,0.279,160.369,4,https://api.spotify.com/v1/tracks/5Hq1CQHBuaxjHSCgj6DoUu,audio_features,spotify:track:5Hq1CQHBuaxjHSCgj6DoUu,0.617,BluntOne,Pillars of Creation,1,
