,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,0,0
0,0.00294,https://api.spotify.com/v1/audio-analysis/2OFrAsP5Vrcb0DtsPNsm54,0.501,190846,0.765,2OFrAsP5Vrcb0DtsPNsm54,0.49,6,0.184,-7.063,0,0.0281,91.769,4,https://api.spotify.com/v1/tracks/2OFrAsP5Vrcb0DtsPNsm54,audio_features,spotify:track:2OFrAsP5Vrcb0DtsPNsm54,0.46,Mac DeMarco,My Kind of Woman
1,0.0876,https://api.spotify.com/v1/audio-analysis/4keAoywVf4jxRvXU7ON0hV,0.43,145893,0.771,4keAoywVf4jxRvXU7ON0hV,0.0239,5,0.121,-7.176,1,0.0375,201.001,4,https://api.spotify.com/v1/tracks/4keAoywVf4jxRvXU7ON0hV,audio_features,spotify:track:4keAoywVf4jxRvXU7ON0hV,0.772,Mac DeMarco,Salad Days
2,0.581,https://api.spotify.com/v1/audio-analysis/2N4idqj9TT3HnH2OFT9j0v,0.709,181587,0.496,2N4idqj9TT3HnH2OFT9j0v,0.195,1,0.151,-10.528,0,0.0417,78.477,4,https://api.spotify.com/v1/tracks/2N4idqj9TT3HnH2OFT9j0v,audio_features,spotify:track:2N4idqj9TT3HnH2OFT9j0v,0.469,Mac DeMarco,Still Beating
3,0.494,https://api.spotify.com/v1/audio-analysis/4SpObLNxf6euNYhqMzgloB,0.515,177196,0.583,4SpObLNxf6euNYhqMzgloB,0.248,1,0.271,-7.612,1,0.0403,161.737,4,https://api.spotify.com/v1/tracks/4SpObLNxf6euNYhqMzgloB,audio_features,spotify:track:4SpObLNxf6euNYhqMzgloB,0.578,Mac DeMarco,Without Me
4,0.00214,https://api.spotify.com/v1/audio-analysis/5CnPPESrUPsVTsb99s42Ej,0.469,213470,0.894,5CnPPESrUPsVTsb99s42Ej,0.00068,9,0.0815,-4.785,1,0.0734,128.569,4,https://api.spotify.com/v1/tracks/5CnPPESrUPsVTsb99s42Ej,audio_features,spotify:track:5CnPPESrUPsVTsb99s42Ej,0.79,Mac DeMarco,Baby's Wearing Blue Jeans
5,0.625,https://api.spotify.com/v1/audio-analysis/6ntqezTa3kJ05AburXDS6L,0.58,183920,0.592,6ntqezTa3kJ05AburXDS6L,0.779,8,0.187,-8.942,1,0.0249,106.238,4,https://api.spotify.com/v1/tracks/6ntqezTa3kJ05AburXDS6L,audio_features,spotify:track:6ntqezTa3kJ05AburXDS6L,0.569,Mac DeMarco,She's Really All I Need
6,0.302,https://api.spotify.com/v1/audio-analysis/3gsk38xacWgtwr0yJz7aHp,0.46,177551,0.777,3gsk38xacWgtwr0yJz7aHp,0.0538,3,0.147,-6.273,0,0.102,161.725,5,https://api.spotify.com/v1/tracks/3gsk38xacWgtwr0yJz7aHp,audio_features,spotify:track:3gsk38xacWgtwr0yJz7aHp,0.888,Mac DeMarco,Moving Like Mike
7,0.208,https://api.spotify.com/v1/audio-analysis/601KiLiZtBJRTXBrTjeieP,0.514,233818,0.632,601KiLiZtBJRTXBrTjeieP,0.0132,2,0.115,-6.305,1,0.0501,94.569,4,https://api.spotify.com/v1/tracks/601KiLiZtBJRTXBrTjeieP,audio_features,spotify:track:601KiLiZtBJRTXBrTjeieP,0.31,Mac DeMarco,Ode to Viceroy
8,0.00445,https://api.spotify.com/v1/audio-analysis/1L7DNWdLnBpFyKMRWDeTZ4,0.5,182219,0.438,1L7DNWdLnBpFyKMRWDeTZ4,0.627,0,0.0929,-8.744,1,0.0517,105.76,5,https://api.spotify.com/v1/tracks/1L7DNWdLnBpFyKMRWDeTZ4,audio_features,spotify:track:1L7DNWdLnBpFyKMRWDeTZ4,0.362,Horse Jumper of Love,Bagel Breath
9,0.145,https://api.spotify.com/v1/audio-analysis/471iNhUWJLrbBZueQRBy83,0.339,282755,0.645,471iNhUWJLrbBZueQRBy83,0.764,4,0.103,-6.605,1,0.03,81.463,4,https://api.spotify.com/v1/tracks/471iNhUWJLrbBZueQRBy83,audio_features,spotify:track:471iNhUWJLrbBZueQRBy83,0.278,Superchunk,Like a Fool
10,0.447,https://api.spotify.com/v1/audio-analysis/2gPWssZglF1r1xFU5Ow46X,0.382,222585,0.62,2gPWssZglF1r1xFU5Ow46X,0.000194,5,0.116,-5.872,1,0.0323,94.031,4,https://api.spotify.com/v1/tracks/2gPWssZglF1r1xFU5Ow46X,audio_features,spotify:track:2gPWssZglF1r1xFU5Ow46X,0.566,Porches,Headsgiving
11,0.0584,https://api.spotify.com/v1/audio-analysis/0aEwbmIKDdv94O1sm38Y2B,0.482,198380,0.472,0aEwbmIKDdv94O1sm38Y2B,0.169,2,0.112,-7.979,1,0.0258,144.912,4,https://api.spotify.com/v1/tracks/0aEwbmIKDdv94O1sm38Y2B,audio_features,spotify:track:0aEwbmIKDdv94O1sm38Y2B,0.341,Bonny Doon,A Lotta Things
12,0.661,https://api.spotify.com/v1/audio-analysis/07wbk15oNiLiQRcEteQQ2u,0.79,210828,0.713,07wbk15oNiLiQRcEteQQ2u,0.00374,2,0.103,-5.561,1,0.0344,114.761,4,https://api.spotify.com/v1/tracks/07wbk15oNiLiQRcEteQQ2u,audio_features,spotify:track:07wbk15oNiLiQRcEteQQ2u,0.915,The Woolen Men,In Disguise
13,0.863,https://api.spotify.com/v1/audio-analysis/0I9Xtmb9a1ej3oJIcnjyLS,0.58,125933,0.47,0I9Xtmb9a1ej3oJIcnjyLS,0.931,3,0.11,-11.923,1,0.0338,111.464,4,https://api.spotify.com/v1/tracks/0I9Xtmb9a1ej3oJIcnjyLS,audio_features,spotify:track:0I9Xtmb9a1ej3oJIcnjyLS,0.43,Duster,Gold Dust
14,0.162,https://api.spotify.com/v1/audio-analysis/7fR7pgBcRGjTYCOJzjnYEc,0.496,188173,0.505,7fR7pgBcRGjTYCOJzjnYEc,0.832,2,0.104,-9.569,1,0.0477,127.351,4,https://api.spotify.com/v1/tracks/7fR7pgBcRGjTYCOJzjnYEc,audio_features,spotify:track:7fR7pgBcRGjTYCOJzjnYEc,0.196,Duster,Heading for the Door
15,0.00401,https://api.spotify.com/v1/audio-analysis/230Hyo6UwjJ3aarAcG6tsg,0.341,303493,0.628,230Hyo6UwjJ3aarAcG6tsg,0.29,4,0.051,-6.952,1,0.0329,132.176,4,https://api.spotify.com/v1/tracks/230Hyo6UwjJ3aarAcG6tsg,audio_features,spotify:track:230Hyo6UwjJ3aarAcG6tsg,0.195,Pile,Prom Song
16,0.112,https://api.spotify.com/v1/audio-analysis/0QIsRWFUlg4Zrqfa5Du9TC,0.161,210549,0.828,0QIsRWFUlg4Zrqfa5Du9TC,0.963,2,0.0702,-4.422,1,0.0532,153.048,4,https://api.spotify.com/v1/tracks/0QIsRWFUlg4Zrqfa5Du9TC,audio_features,spotify:track:0QIsRWFUlg4Zrqfa5Du9TC,0.035,Perfect Pussy,Interference Fits
